PARCELID,YRBLT,GRADE,COND,CDU,USER1,TAXDIST
090008  00018,1975,25,3,AV,Y,MEMPHIS
090002  00186,1973,25,3,FR,Y,MEMPHIS
090003  00008,1972,25,3,FR,Y,MEMPHIS
090008  00015,1975,25,3,FR,Y,MEMPHIS
D0147   00233,1987,35,3,AV,Y,SHELBY COUNTY
090008  00016,1975,25,4,AV,Y,MEMPHIS
090002  00097,1972,25,3,FR,Y,MEMPHIS
090002  00195,1973,25,3,FR,Y,MEMPHIS
090002  00185,1972,25,3,FR,Y,MEMPHIS
090003  00007,1972,25,3,FR,Y,MEMPHIS
090002  00194,1973,25,3,FR,Y,MEMPHIS
090002  00193,1973,25,3,FR,Y,MEMPHIS
090002  00098,1973,25,3,FR,Y,MEMPHIS
090002  00234,1973,25,3,FR,Y,MEMPHIS
090028  00003,1958,35,3,FR,Y,MEMPHIS
090002  00235,1973,25,3,FR,Y,MEMPHIS
090002  00236,1973,25,3,FR,Y,MEMPHIS
090002  00254,1973,25,3,FR,Y,MEMPHIS
090002  00237,1973,25,3,AV,Y,MEMPHIS
090002  00184,1973,25,3,FR,Y,MEMPHIS
090003  00006,1972,25,2,FR,Y,MEMPHIS
090002  00253,1973,25,3,FR,Y,MEMPHIS
090002  00238,1990,25,3,FR,NA,MEMPHIS
090002  00251,1973,25,3,FR,Y,MEMPHIS
090002  00173,1992,25,3,AV,NA,MEMPHIS
090002  00175,1989,25,3,FR,Y,MEMPHIS
090002  00249,1989,25,3,FR,Y,MEMPHIS
090002  00176,1990,25,3,FR,NA,MEMPHIS
090003  00005,1972,25,3,FR,Y,MEMPHIS
090002  00183,1973,25,3,AV,Y,MEMPHIS
090002  00177,1995,25,3,FR,Y,MEMPHIS
090002  00180,1974,25,3,FR,Y,MEMPHIS
090002  00247,1989,25,3,FR,Y,MEMPHIS
090002  00181,1974,25,3,FR,Y,MEMPHIS
090002  00246,1989,25,3,FR,Y,MEMPHIS
090002  00245,1989,25,3,FR,Y,MEMPHIS
090003  00004,1972,25,3,FR,Y,MEMPHIS
090002  00182,1974,25,3,AV,Y,MEMPHIS
090002  00244,1989,25,3,FR,Y,MEMPHIS
090002  00257,1974,25,3,FR,Y,MEMPHIS
090002  00258,1974,25,3,FR,Y,MEMPHIS
090002  00243,1990,25,3,FR,NA,MEMPHIS
090002  00101,1972,25,3,FR,Y,MEMPHIS
090002  00259,1974,25,3,FR,Y,MEMPHIS
090002  00242,1992,25,3,FR,NA,MEMPHIS
090003  00003,1972,25,3,FR,Y,MEMPHIS
090002  00362,1933,25,3,FR,Y,MEMPHIS
090002  00261,1974,25,3,FR,Y,MEMPHIS
090002  00240,1990,25,3,FR,NA,MEMPHIS
090002  00361,1944,35,3,FR,NA,MEMPHIS
090002  00102,1972,25,3,FR,Y,MEMPHIS
090002  00263,1976,25,3,FR,Y,MEMPHIS
090002  00163,1991,25,3,FR,Y,MEMPHIS
090002  00164,1991,25,3,FR,Y,MEMPHIS
090002  00172,1974,25,2,FR,Y,MEMPHIS
090007  00005,1973,25,3,FR,Y,MEMPHIS
090002  00271,1971,25,3,FR,Y,MEMPHIS
090002  00103,1972,25,3,FR,Y,MEMPHIS
090007  00003,1973,25,3,FR,Y,MEMPHIS
